Name Of Dishes,Calories
Fruit salad - (1 cup (249 g)),125 
Grapes - (1 cup (151 g)),104 
Greengage 1 fruit (5 g),2 
Guava 1 guava (55 g),37 
Jackfruit - (1 cup (151 g)),143 
Jujube 1 oz. (28.35 g),22 
Kiwi 1 kiwi (183 g),112 
Lemon 1 lemon (58 g),17 
Lime 1 lime (67 g),20 
Lychees 1 lychee (10 g),7 
Mandarin Oranges 1 mandarin orange (88 g),47 
Mango - (1 mango) (336 g),202 
Minneola 1 minneola (109 g),70 
Mulberries - (1 cup (140 g)),60 
Nectarine 1 nectarine (150 g),66 
Olives 1 olive (2.7 g),2 
Orange 1 orange (131 g),62 
Papaya 1 fruit (500 g),215 
Passion Fruit 1 passoin fruit (18 g),17 
Peach 1 peach (150 g),59 
Pear 1 pear (178 g),101 
Corn Waffles 1 waffle (40 g),110 
Peanut Butter Sandwich 1 sandwich (49 g),200 
Potato Salad 1/3 cup (95 g),136 
Avocado 1 avocado (200 g),320 
Banana 1 banana (125 g),111 
Dosa - (1 serving )(435 g),287 
Spaghetti 2 oz. (56 g),207 
Broccoli Cheese Soup 1 can (303 g),264 
Polenta - (1 cup (150 g)),549 
Beans with toast 1 slice(50g),97 
Cinnamon toast 1 slice(22g),92 
Greek yogurt with fruits - (1 serving )(50g),95 
Spinach Monglet - (1 serving )(60g),94 
Oats with Berries - (1 serving )(60g),109 
Crumpets with butter 2 small,183 
Butter Croissant - (1 serving )(435 g),175 
Blueberry Muesli - (1 serving )(75g),105 
Oats Idli - (1 serving )(2 idlis),60 
Ragi dosa - (1 serving ) ,132 
Poha - (1 serving()250g),250 
Upma - (1 serving ) ,192 
Dalia (vegetable) - (1 serving ) ,174 
Quinoa Porridge - (1 serving )(30g),231 
Banana pancakes - (1 serving )(2) ,243 
Creamy mushroom (with bread) - (1 serving )(40g)  ,231 
Cranberry & Raspberry smothie - (1 serving )(50g),100 
Hash browns with mustard - (1 serving )(15g),153 
Chickpea waffles - (1 serving ) ,85 
Zucchini pancakes - (1 serving ) ,
Apple-Cheese strudel - (1 serving ) ,200 
Pumpkin seed Parfait - (1 serving ) ,200 
Avocado toast - (1 serving ) ,313 
Savory Cottage Cheese - (1 serving ) ,98 
Strawberry-Chia Yogurt - (1 serving ) ,59 
Banana Almond Butter toast - (1 serving ) ,89 
Banana Berry Oatmeal - (1 serving ) ,250 
Mango Avocado Smoothie - (1 serving ) ,403 
Cherry Crepes - (1 serving ) ,130 
Vanilla Yogurt Pancakes - (1 serving ) ,500 
French toast with cheese - (1 serving ) ,162 
Overnight Oats - (1 serving ) ,215 
Portabello Cups - (1 serving ) ,50 
Choco crepes - (1 serving ) ,546 
Veggie Bagel 1 bread,250 
Toast with Peanut Butter - (1 serving ) ,588 
Aloo Parantha - (1 serving ) ,177 
Veggie wrap - (1 serving ) ,250 
Fruity Smoothie Bowl - (1 serving ) ,130 
Banana protein shake - (1 serving ) ,362 
Steel-cut Oats - (1 serving ) ,150 
